row_type,variant,driver_hash,step,candidate_hash,direct_net,marginal_penalty,penalty_before,penalty_after,repair_action,avoided_penalty,repair_value,lost_profit,deadline,feasibility,confidence,redaction_status
money_repair_sample,money_trajectory_repair,3e0e35341231,60,8081e0d6f2c1,866.56,0.0,40120.0,40120.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,64,4a26a2264c1a,765.81,120.0,38320.0,38440.0,delete_replace_or_wait_macro,120.0,120.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,68,0eae1730e284,973.87,0.0,36640.0,36640.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,73,5781fb8a2eb6,883.69,120.0,34840.0,34960.0,delete_replace_or_wait_macro,120.0,120.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,77,e58e27d4111d,712.81,0.0,33160.0,33160.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,82,507b5642fd5a,1318.47,0.0,29560.0,29560.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,86,38529d44a21c,812.93,120.0,27760.0,27880.0,delete_replace_or_wait_macro,120.0,120.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,87,50befe59b9fb,192.91,120.0,27880.0,28000.0,delete_replace_or_wait_macro,120.0,120.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,90,2b2d4e42d0db,855.21,0.0,26200.0,26200.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,95,bbdf013f360c,1002.76,0.0,24400.0,24400.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,96,abc4d79bdebd,655.93,0.0,24400.0,24400.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,99,5284c52187e7,1069.19,120.0,22600.0,22720.0,delete_replace_or_wait_macro,120.0,120.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,103,14362892815b,896.76,0.0,20920.0,20920.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,106,de0fe73fa26c,865.79,0.0,19120.0,19120.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,107,023b26839df7,291.35,0.0,19120.0,19120.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,110,dfa8ba7072ab,787.35,0.0,17320.0,17320.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
