run_id,dataset_tag,driver_id_hash,gross_income,distance_cost,gross_minus_cost,preference_penalty,official_net,expected_official_net,rounding_delta,net_already_penalty_adjusted,proxy_double_count_forbidden,take_order,wait,reposition,query_minutes,query_minutes_per_take,illegal_actions,rejected_takes,income_calculation_aborted,simulation_failure
runs/next_build/20260509/money_greedy_no_pref,20260509_reference,3c5844ed8465,57492.04,17245.39,40246.65,10800.0,29446.64,29446.65,-0.01,True,True,75,8,0,825,11.0,0,0,False,False
runs/next_build/20260509/money_greedy_no_pref,20260509_reference,b8424551b996,54861.05,17377.81,37483.24,12400.0,25083.23,25083.24,-0.01,True,True,73,7,0,795,10.89,0,0,False,False
runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,57492.04,17250.07,40241.97,19320.0,20921.96,20921.97,-0.01,True,True,75,8,0,825,11.0,0,0,False,False
runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,58132.38,17626.63,40505.75,12600.0,27905.75,27905.75,0.0,True,True,74,8,0,815,11.01,0,0,False,False
runs/next_build/20260509/money_greedy_no_pref,20260509_reference,f9abd903cb86,54861.05,17368.54,37492.51,37700.0,-207.5,-207.49,-0.01,True,True,73,7,0,795,10.89,0,0,False,False
runs/next_build/20260509/money_greedy_no_pref,20260509_reference,263f61d9f731,54861.05,17353.63,37507.42,39840.0,-2332.59,-2332.58,-0.01,True,True,73,7,0,795,10.89,0,0,False,False
runs/next_build/20260509/strict_pref,20260509_reference,e7a52d984e7e,28190.24,8919.01,19271.23,4500.0,14771.23,14771.23,0.0,True,True,39,88,0,1526,39.13,0,0,False,False
runs/next_build/20260509/strict_pref,20260509_reference,3e0e35341231,27537.26,8962.48,18574.78,6350.0,12224.78,12224.78,0.0,True,True,41,89,0,1566,38.2,0,0,False,False
runs/next_build/20260509/strict_pref,20260509_reference,983f9a2734ca,29709.77,9450.78,20258.99,2000.0,18258.99,18258.99,0.0,True,True,43,86,0,1536,35.72,0,0,False,False
runs/next_build/20260509/strict_pref,20260509_reference,af4b17af9fc7,28453.71,8862.18,19591.53,2800.0,16791.53,16791.53,0.0,True,True,42,86,0,1526,36.33,0,0,False,False
runs/next_build/20260509/strict_pref,20260509_reference,3c5844ed8465,29709.77,9505.6,20204.17,4400.0,15804.17,15804.17,0.0,True,True,43,85,0,1516,35.26,0,0,False,False
runs/next_build/20260509/strict_pref,20260509_reference,b8424551b996,29945.18,9461.77,20483.41,2750.0,17733.4,17733.41,-0.01,True,True,46,84,0,1526,33.17,0,0,False,False
runs/next_build/20260509/strict_pref,20260509_reference,0bcc30e5393c,29709.77,9496.38,20213.39,6180.0,14033.39,14033.39,0.0,True,True,43,85,0,1516,35.26,0,0,False,False
runs/next_build/20260509/strict_pref,20260509_reference,d1b26936cffa,27341.95,8862.4,18479.55,1500.0,16979.54,16979.55,-0.01,True,True,41,89,0,1566,38.2,0,0,False,False
runs/next_build/20260509/strict_pref,20260509_reference,f9abd903cb86,29162.09,9528.3,19633.79,37000.0,-17366.21,-17366.21,0.0,True,True,43,85,0,1516,35.26,0,0,False,False
runs/next_build/20260509/strict_pref,20260509_reference,263f61d9f731,27537.26,8929.47,18607.79,34320.0,-15712.21,-15712.21,0.0,True,True,41,89,0,1566,38.2,0,0,False,False
runs/next_build/20260529/calendar_rest_only,20260529_main,e7a52d984e7e,28802.66,8549.24,20253.42,19300.0,953.42,953.42,0.0,True,True,38,90,0,1093,28.76,0,0,False,False
runs/next_build/20260529/calendar_rest_only,20260529_main,3e0e35341231,27273.53,8043.14,19230.39,23040.0,-3809.6,-3809.61,0.01,True,True,39,88,0,1093,28.03,0,0,False,False
runs/next_build/20260529/dynamic_query_k,20260529_main,e7a52d984e7e,46694.27,14790.08,31904.19,103200.0,-71295.81,-71295.81,0.0,True,True,85,8,0,607,7.14,0,0,False,False
runs/next_build/20260529/dynamic_query_k,20260529_main,3e0e35341231,48475.35,15510.62,32964.73,89920.0,-56955.26,-56955.27,0.01,True,True,83,5,0,575,6.93,0,0,False,False
runs/next_build/20260529/dynamic_query_reposition,20260529_main,e7a52d984e7e,46694.27,14790.08,31904.19,103200.0,-71295.81,-71295.81,0.0,True,True,85,8,0,607,7.14,0,0,False,False
runs/next_build/20260529/dynamic_query_reposition,20260529_main,3e0e35341231,47762.71,14243.04,33519.67,92960.0,-59440.33,-59440.33,0.0,True,True,84,8,0,581,6.92,0,0,False,False
runs/next_build/20260529/marginal_pref_only,20260529_main,e7a52d984e7e,53632.09,16505.02,37127.07,103800.0,-66672.93,-66672.93,0.0,True,True,82,3,0,836,10.2,0,0,False,False
runs/next_build/20260529/marginal_pref_only,20260529_main,3e0e35341231,53632.09,16518.67,37113.42,84400.0,-47286.58,-47286.58,0.0,True,True,82,3,0,836,10.2,0,0,False,False
runs/next_build/20260529/money_greedy_no_pref,20260529_main,e7a52d984e7e,56014.24,17206.15,38808.09,104300.0,-65491.92,-65491.91,-0.01,True,True,72,3,0,726,10.08,0,0,False,False
runs/next_build/20260529/money_greedy_no_pref,20260529_main,3e0e35341231,56014.24,17219.81,38794.43,96240.0,-57445.57,-57445.57,0.0,True,True,72,3,0,726,10.08,0,0,False,False
runs/next_build/20260529/preference_state_machine,20260529_main,e7a52d984e7e,40339.97,12257.69,28082.28,72600.0,-44517.72,-44517.72,0.0,True,True,65,35,0,499,7.68,0,0,False,False
runs/next_build/20260529/preference_state_machine,20260529_main,3e0e35341231,35945.23,12118.8,23826.43,80560.0,-56733.57,-56733.57,0.0,True,True,64,29,0,454,7.09,0,0,False,False
runs/next_build/20260529/strict_pref,20260529_main,e7a52d984e7e,28090.16,8541.38,19548.78,16900.0,2648.78,2648.78,0.0,True,True,35,90,0,1555,44.43,0,0,False,False
runs/next_build/20260529/strict_pref,20260529_main,3e0e35341231,27684.43,8332.23,19352.2,19760.0,-407.8,-407.8,0.0,True,True,38,90,0,1554,40.89,0,0,False,False
