trial_id,stage,status,variant,config_hash,params_json,run_dir,command,exit_code,dataset,simulation_days,official_net,gross_minus_cost,preference_penalty,take_count,wait_count,reposition_count,query_count,query_minutes,query_minutes_per_take,invalid_count,rejected_take_count,income_abort_count,qwen_compile_calls,qwen_link_calls,qwen_auditor_calls,qwen_numeric_adjustments,schema_valid_rate,behavioral_pref_accuracy,false_safe_rate,false_hard_block_rate,blocked_high_penalty_take_count,penalty_reduction_vs_anchor,gross_loss_vs_anchor,value_model_used_count,beam_used_count,terminal_value_used_count,adaptive_query_used_count,month_end_protection_count,regret_lns_used_count,evolution_generation,b0_action_included_rate,action_signature_match_rate_if_noop,b0_shadow_pure,keep_or_kill,kill_reason
G007,TierA_search_full_31day,EXECUTED,crown_dragon_orca,d4de157ede80675c,"{""beam_depth"":3,""beam_width"":2,""evolution_generation"":2,""money_weight"":1.1,""month_end_weight"":9.0,""pph_weight"":8.85,""pref_debt_weight"":0.32,""query_k"":600,""value_weight"":0.24}",runs/dragon_orca/eval_20260529/search/G007,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_dragon_orca --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\search\G007 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-21981.95,30318.06,52300.0,71,193,23,214,1561,21.99,0,0,0,7,210,0,0,0.8939,1.0,0.0,0.0,71,-14160.0,12889.63,71,71,71,71,3,71,2,0.85,,true,kill,below_b0_or_negative_tradeoff
G008,TierA_search_full_31day,EXECUTED,crown_dragon_orca,edf088cf3109bbd6,"{""beam_depth"":1,""beam_width"":0,""evolution_generation"":3,""money_weight"":1.22,""month_end_weight"":0.0,""pph_weight"":9.4,""pref_debt_weight"":0.44,""query_k"":120,""value_weight"":0.0}",runs/dragon_orca/eval_20260529/search/G008,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_dragon_orca --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\search\G008 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-22569.59,29730.41,52300.0,68,271,22,218,1558,22.91,0,0,0,7,210,0,0,0.8939,1.0,0.0,0.0,68,-14160.0,13477.28,0,0,0,0,0,68,3,0.85,,true,kill,below_b0_or_negative_tradeoff
G009,TierA_search_full_31day,EXECUTED,crown_dragon_orca,e9fad5f384413b38,"{""beam_depth"":2,""beam_width"":2,""evolution_generation"":1,""money_weight"":1.34,""month_end_weight"":3.0,""pph_weight"":5.0,""pref_debt_weight"":0.56,""query_k"":200,""value_weight"":0.08}",runs/dragon_orca/eval_20260529/search/G009,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_dragon_orca --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\search\G009 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-15764.35,31375.66,47140.0,69,215,22,215,1571,22.77,0,0,0,7,210,0,0,0.8939,1.0,0.0,0.0,69,-9000.0,11832.03,69,69,69,69,4,69,1,0.85,,true,kill,below_b0_or_negative_tradeoff
G010,TierA_search_full_31day,EXECUTED,crown_dragon_orca,8aee3a0f49819a21,"{""beam_depth"":2,""beam_width"":3,""evolution_generation"":2,""money_weight"":1.46,""month_end_weight"":6.0,""pph_weight"":5.55,""pref_debt_weight"":0.68,""query_k"":300,""value_weight"":0.15}",runs/dragon_orca/eval_20260529/search/G010,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_dragon_orca --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\search\G010 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-15764.35,31375.66,47140.0,69,215,22,215,1571,22.77,0,0,0,7,210,0,0,0.8939,1.0,0.0,0.0,69,-9000.0,11832.03,69,69,69,69,4,69,2,0.85,,true,kill,below_b0_or_negative_tradeoff
G011,TierA_search_full_31day,EXECUTED,crown_dragon_orca,329ee937a40b4a95,"{""beam_depth"":3,""beam_width"":2,""evolution_generation"":3,""money_weight"":1.58,""month_end_weight"":9.0,""pph_weight"":6.1,""pref_debt_weight"":0.8,""query_k"":600,""value_weight"":0.24}",runs/dragon_orca/eval_20260529/search/G011,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_dragon_orca --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\search\G011 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-16030.02,31109.99,47140.0,70,197,22,217,1579,22.56,0,0,0,7,213,0,0,0.8939,1.0,0.0,0.0,70,-9000.0,12097.7,70,70,70,70,3,70,3,0.85,,true,kill,below_b0_or_negative_tradeoff
G012,TierA_search_full_31day,EXECUTED,crown_dragon_orca,792aa70bbcabbe56,"{""beam_depth"":1,""beam_width"":0,""evolution_generation"":1,""money_weight"":1.7,""month_end_weight"":0.0,""pph_weight"":6.65,""pref_debt_weight"":0.2,""query_k"":120,""value_weight"":0.0}",runs/dragon_orca/eval_20260529/search/G012,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_dragon_orca --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\search\G012 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-9831.06,31308.94,41140.0,67,199,22,216,1564,23.34,0,0,0,7,208,0,0,0.8939,1.0,0.0,0.0,67,-3000.0,11898.75,0,0,0,0,0,67,1,0.85,,true,kill,below_b0_or_negative_tradeoff
G013,TierA_search_full_31day,EXECUTED,crown_dragon_orca,605efdb58f89bea2,"{""beam_depth"":2,""beam_width"":2,""evolution_generation"":2,""money_weight"":1.82,""month_end_weight"":3.0,""pph_weight"":7.2,""pref_debt_weight"":0.32,""query_k"":200,""value_weight"":0.08}",runs/dragon_orca/eval_20260529/search/G013,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_dragon_orca --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\search\G013 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-16977.31,32262.7,49240.0,70,222,22,224,1609,22.99,0,0,0,7,212,0,0,0.8939,1.0,0.0,0.0,70,-11100.0,10944.99,70,70,70,70,3,70,2,0.85,,true,kill,below_b0_or_negative_tradeoff
G014,TierA_search_full_31day,EXECUTED,crown_dragon_orca,fd6980001add2243,"{""beam_depth"":2,""beam_width"":3,""evolution_generation"":3,""money_weight"":1.1,""month_end_weight"":6.0,""pph_weight"":7.75,""pref_debt_weight"":0.44,""query_k"":300,""value_weight"":0.15}",runs/dragon_orca/eval_20260529/search/G014,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_dragon_orca --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\search\G014 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-21981.95,30318.06,52300.0,71,193,23,214,1561,21.99,0,0,0,7,210,0,0,0.8939,1.0,0.0,0.0,71,-14160.0,12889.63,71,71,71,71,3,71,3,0.85,,true,kill,below_b0_or_negative_tradeoff
G015,TierA_search_full_31day,EXECUTED,crown_dragon_orca,e6f44e51677da012,"{""beam_depth"":3,""beam_width"":2,""evolution_generation"":1,""money_weight"":1.22,""month_end_weight"":9.0,""pph_weight"":8.3,""pref_debt_weight"":0.56,""query_k"":600,""value_weight"":0.24}",runs/dragon_orca/eval_20260529/search/G015,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_dragon_orca --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\search\G015 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-21981.95,30318.06,52300.0,71,193,23,214,1561,21.99,0,0,0,7,210,0,0,0.8939,1.0,0.0,0.0,71,-14160.0,12889.63,71,71,71,71,3,71,1,0.85,,true,kill,below_b0_or_negative_tradeoff
G016,TierA_search_full_31day,EXECUTED,crown_dragon_orca,b2026a2026509962,"{""beam_depth"":1,""beam_width"":0,""evolution_generation"":2,""money_weight"":1.34,""month_end_weight"":0.0,""pph_weight"":8.85,""pref_debt_weight"":0.68,""query_k"":120,""value_weight"":0.0}",runs/dragon_orca/eval_20260529/search/G016,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_dragon_orca --results-dir C:\budostudy\only_for_codex\thelatstcargo\runs\dragon_orca\eval_20260529\search\G016 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,20260529,31,-22750.93,29549.07,52300.0,66,272,22,218,1552,23.52,0,0,0,7,210,0,0,0.8939,1.0,0.0,0.0,66,-14160.0,13658.62,0,0,0,0,0,66,2,0.85,,true,kill,below_b0_or_negative_tradeoff
