dataset,row_index,action,chosen_candidate_hash,ptt_rules,ptt_controllers,vocab_links,firewall_scored,firewall_blocked,firewall_massive,macro_started,macro_completed
20260529,111,take_order,f04cd140bf5bc087,4,4,1,29,0,24,29,29
20260529,112,take_order,8f1fbcf45b9a2cae,4,4,1,41,0,33,29,29
20260529,113,wait,f6f2f6037c96e909,4,4,1,50,0,33,29,29
20260529,114,wait,f6f2f6037c96e909,4,4,1,51,0,33,29,29
20260529,115,wait,f6f2f6037c96e909,4,4,1,53,0,36,29,29
20260529,116,wait,54063e001d641e2e,4,4,1,76,0,64,30,30
20260529,117,take_order,3045510c1f8479cb,4,4,1,51,0,35,30,30
20260529,118,take_order,b6f59bb2eb086239,4,4,1,38,0,31,30,30
20260529,119,take_order,870780cb82a497a9,4,4,1,51,0,30,30,30
20260529,120,wait,f6f2f6037c96e909,4,4,1,55,0,13,30,30
20260529,121,wait,54063e001d641e2e,4,4,1,51,0,15,31,31
20260529,122,take_order,6693602e4d6d3f0c,4,4,1,28,0,9,31,31
20260529,123,wait,f6f2f6037c96e909,4,4,0,1,0,0,31,31
20260529,124,wait,f6f2f6037c96e909,4,4,0,1,0,0,31,31
20260529,125,wait,f6f2f6037c96e909,4,4,0,1,0,0,31,31
20260529,126,wait,f6f2f6037c96e909,4,4,0,1,0,0,31,31
20260529,127,wait,ffb57e309933dfe7,4,4,0,1,0,0,31,31
20260529,128,wait,54063e001d641e2e,5,5,0,0,0,0,1,1
20260529,129,take_order,3f42d964cdf15d06,5,5,1,64,0,0,1,1
20260529,130,take_order,741512f2c16a884c,5,5,1,65,0,0,1,1
20260529,131,wait,1230253ea99297e7,5,5,0,59,0,0,1,1
20260529,132,wait,a461734b01c1c850,5,5,0,0,0,0,2,2
20260529,133,take_order,f1f0176387d2c45e,5,5,0,28,0,0,2,2
20260529,134,take_order,0b34bd9ef47bdf1a,5,5,0,50,0,0,2,2
20260529,135,wait,240bf8ef7b7c4930,5,5,0,55,0,0,3,3
20260529,136,take_order,7fae69d33374a6ad,5,5,0,43,0,0,3,3
20260529,137,wait,1230253ea99297e7,5,5,1,56,0,39,3,3
20260529,138,wait,1230253ea99297e7,5,5,1,65,0,46,3,3
20260529,139,wait,6f0158449a0dc482,5,5,0,0,0,0,4,4
20260529,140,reposition,3343cd54aa9a4c01,5,5,1,51,0,27,5,4
20260529,141,wait,b4d1da4676e26355,5,5,0,0,0,0,5,5
20260529,142,take_order,37af4ca884b139e2,5,5,1,70,0,23,5,5
20260529,143,wait,1230253ea99297e7,5,5,0,55,0,0,5,5
20260529,144,wait,4ab587fe0b52eea2,5,5,0,0,0,0,6,6
20260529,145,take_order,7e90bc9ca89ca54c,5,5,0,47,0,0,6,6
20260529,146,take_order,bf0760fa23c0bd45,5,5,0,58,0,0,6,6
20260529,147,wait,1230253ea99297e7,5,5,0,63,0,0,6,6
20260529,148,wait,cca9484e929b7517,5,5,0,0,0,0,7,7
20260529,149,take_order,08bb1699d5ec17a3,5,5,0,47,0,0,7,7
20260529,150,take_order,54b741540086199d,5,5,0,36,0,0,7,7
20260529,151,wait,1230253ea99297e7,5,5,0,59,0,0,7,7
20260529,152,wait,27ad34d1b54cc8ec,5,5,0,0,0,0,8,8
20260529,153,take_order,4b1a29ffa51cdb76,5,5,0,41,0,0,8,8
20260529,154,take_order,116dc71615c40eec,5,5,0,51,0,0,8,8
20260529,155,wait,54063e001d641e2e,5,5,0,0,0,0,9,9
20260529,156,take_order,462fd8c524ebeb30,5,5,1,32,0,0,9,9
20260529,157,take_order,6eb91a906f50c231,5,5,0,45,0,0,9,9
20260529,158,wait,1230253ea99297e7,5,5,1,58,0,0,9,9
20260529,159,wait,f3fc45183ab22c95,5,5,0,0,0,0,10,10
20260529,160,take_order,9108fe2737b61e20,5,5,1,29,0,0,10,10
20260529,161,take_order,241a57c22b1d7dc8,5,5,0,47,0,0,10,10
