run_id,dataset,driver_hash,step_hash,action_type,candidate_type,chosen_action_type,delta_official_net,delta_gross_minus_cost,delta_preference_penalty,delta_query_minutes,delta_time_minutes,label_mode,continuation_policy,exact_official_label,replay_valid_after_replacement,visibility_valid,legality_valid,state_compatibility_ok,confidence,notes
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,022ea32017a9,wait,top_rejected_take,wait,-10759.17,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,022ea32017a9,wait,top_rejected_take,wait,-10811.09,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,022ea32017a9,wait,top_rejected_take,wait,-11636.99,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,022ea32017a9,wait,top_rejected_take,wait,-12000.54,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,022ea32017a9,wait,top_rejected_take,wait,-13484.34,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,4ef0ee4c21d0,wait,top_rejected_take,wait,-11547.82,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,4ef0ee4c21d0,wait,top_rejected_take,wait,-11860.62,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,4ef0ee4c21d0,wait,top_rejected_take,wait,-12204.51,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,4ef0ee4c21d0,wait,top_rejected_take,wait,-12256.43,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,4ef0ee4c21d0,wait,top_rejected_take,wait,-13240.97,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,1721f8a36186,wait,top_rejected_take,wait,-10494.29,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,1721f8a36186,wait,top_rejected_take,wait,-10543.37,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,1721f8a36186,wait,top_rejected_take,wait,-10872.94,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,1721f8a36186,wait,top_rejected_take,wait,-11668.06,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,1721f8a36186,wait,top_rejected_take,wait,-12300.33,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,6620e78efae3,wait,top_rejected_take,wait,-11939.62,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,6620e78efae3,wait,top_rejected_take,wait,-12318.27,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,6620e78efae3,wait,top_rejected_take,wait,-13549.49,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,6620e78efae3,wait,top_rejected_take,wait,-13745.67,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,6620e78efae3,wait,top_rejected_take,wait,-13752.61,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,d3980099d234,wait,top_rejected_take,wait,-9841.21,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,d3980099d234,wait,top_rejected_take,wait,-11029.6,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,d3980099d234,wait,top_rejected_take,wait,-11271.14,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,d3980099d234,wait,top_rejected_take,wait,-11613.41,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,d3980099d234,wait,top_rejected_take,wait,-11859.9,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,581bc37a878e,wait,top_rejected_take,wait,-11844.25,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,581bc37a878e,wait,top_rejected_take,wait,-11856.56,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,581bc37a878e,wait,top_rejected_take,wait,-13058.74,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,581bc37a878e,wait,top_rejected_take,wait,-13077.3,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,581bc37a878e,wait,top_rejected_take,wait,-13305.23,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,5c245132a24a,wait,top_rejected_take,wait,-13730.24,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,5c245132a24a,wait,top_rejected_take,wait,-13953.42,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,5c245132a24a,wait,top_rejected_take,wait,-14054.32,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,5c245132a24a,wait,top_rejected_take,wait,-14202.37,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
